"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARTIARTL","EQ","23-Aug-2018","        368.25","        372.30","        376.75","        368.10","        370.00","        369.90","        370.67","    4278039","          1585754683.35","      59478","    2405258","         56.22"
"BHARTIARTL","EQ","24-Aug-2018","        369.90","        370.00","        370.80","        365.00","        368.15","        368.95","        367.70","    2089422","           768282183.75","      26515","     806814","         38.61"
"BHARTIARTL","EQ","27-Aug-2018","        368.95","        370.00","        383.80","        367.40","        381.90","        379.15","        376.01","    5938671","          2233007394.25","      51952","    3103291","         52.26"
"BHARTIARTL","EQ","28-Aug-2018","        379.15","        382.35","        385.70","        375.40","        376.65","        376.80","        377.85","    3669920","          1386672077.85","      47216","    1468386","         40.01"
"BHARTIARTL","EQ","29-Aug-2018","        376.80","        378.00","        382.45","        372.75","        376.50","        374.90","        377.96","    4038807","          1526527275.65","      46204","    2191433","         54.26"
"BHARTIARTL","EQ","30-Aug-2018","        374.90","        377.30","        385.00","        375.65","        381.05","        383.10","        380.80","    7026818","          2675813511.65","      77683","    4041064","         57.51"
"BHARTIARTL","EQ","31-Aug-2018","        383.10","        379.85","        386.00","        376.00","        383.25","        383.85","        380.95","    7849613","          2990271963.85","     103793","    5066953","         64.55"
"BHARTIARTL","EQ","03-Sep-2018","        383.85","        387.00","        387.25","        380.45","        382.10","        383.80","        384.15","    3764539","          1446141429.80","      64135","    2162878","         57.45"
"BHARTIARTL","EQ","04-Sep-2018","        383.80","        382.30","        383.45","        375.70","        377.00","        378.35","        380.24","    2886141","          1097427982.05","      35361","    1488642","         51.58"
"BHARTIARTL","EQ","05-Sep-2018","        378.35","        375.00","        377.85","        366.25","        373.95","        372.05","        373.06","    5983744","          2232286284.85","      54833","    4147682","         69.32"
"BHARTIARTL","EQ","06-Sep-2018","        372.05","        373.95","        374.70","        368.10","        370.85","        372.30","        371.59","    2354020","           874732770.90","      38140","    1072899","         45.58"
"BHARTIARTL","EQ","07-Sep-2018","        372.30","        373.90","        391.30","        368.80","        389.30","        389.60","        383.91","    4923668","          1890257295.55","      75645","    2178211","         44.24"
"BHARTIARTL","EQ","10-Sep-2018","        389.60","        389.30","        397.50","        382.20","        387.35","        388.40","        387.87","    5059483","          1962406863.90","      54372","    2058811","         40.69"
"BHARTIARTL","EQ","11-Sep-2018","        388.40","        388.50","        392.40","        377.45","        379.10","        378.70","        381.85","    5241423","          2001419163.45","      61811","    1265359","         24.14"
"BHARTIARTL","EQ","12-Sep-2018","        378.70","        380.90","        382.15","        371.80","        376.20","        376.70","        377.10","    3664475","          1381874342.10","      57357","    1480508","         40.40"
"BHARTIARTL","EQ","14-Sep-2018","        376.70","        378.00","        388.20","        373.00","        385.25","        383.60","        378.39","    3241639","          1226613538.35","      63391","    1259111","         38.84"
"BHARTIARTL","EQ","17-Sep-2018","        383.60","        380.15","        391.00","        377.10","        382.00","        382.05","        384.11","    3086233","          1185459020.35","      41333","     650455","         21.08"
"BHARTIARTL","EQ","18-Sep-2018","        382.05","        380.20","        384.80","        372.55","        374.15","        373.70","        377.99","    2663263","          1006689203.25","      35219","    1082084","         40.63"
"BHARTIARTL","EQ","19-Sep-2018","        373.70","        374.50","        380.40","        360.30","        361.85","        370.05","        373.93","    1966708","           735409098.85","      39430","     392998","         19.98"
"BHARTIARTL","EQ","21-Sep-2018","        370.05","        364.90","        379.85","        357.25","        373.45","        370.50","        368.24","    5503664","          2026667477.45","      62098","    2710593","         49.25"
"BHARTIARTL","EQ","24-Sep-2018","        370.50","        370.40","        372.90","        350.50","        355.95","        356.20","        356.85","    7105527","          2535578712.25","      75274","    4289956","         60.37"
"BHARTIARTL","EQ","25-Sep-2018","        356.20","        359.20","        363.65","        344.00","        359.90","        360.50","        350.66","    6177721","          2166300648.95","     109541","    2729740","         44.19"
"BHARTIARTL","EQ","26-Sep-2018","        360.50","        363.00","        365.00","        357.15","        360.70","        361.30","        360.58","    3964043","          1429370151.50","      67664","    2071064","         52.25"
"BHARTIARTL","EQ","27-Sep-2018","        361.30","        361.50","        363.45","        354.65","        358.70","        356.80","        358.63","    4041142","          1449278106.00","      92132","    2774221","         68.65"
"BHARTIARTL","EQ","28-Sep-2018","        356.80","        356.80","        359.00","        335.15","        340.00","        338.55","        342.35","   11183009","          3828483818.85","     155523","    7284199","         65.14"
"BHARTIARTL","EQ","01-Oct-2018","        338.55","        339.00","        340.00","        321.70","        324.40","        326.75","        326.95","    9794496","          3202274997.90","     107729","    6234806","         63.66"
"BHARTIARTL","EQ","03-Oct-2018","        326.75","        326.00","        327.30","        316.35","        316.35","        318.45","        320.89","    6659938","          2137080580.30","     101137","    2663089","         39.99"
"BHARTIARTL","EQ","04-Oct-2018","        318.45","        315.35","        317.45","        302.15","        310.40","        310.15","        310.94","    8083991","          2513639066.40","      97040","    3983564","         49.28"
"BHARTIARTL","EQ","05-Oct-2018","        310.15","        308.50","        315.90","        291.90","        296.40","        298.60","        306.64","    7168719","          2198187034.70","     108889","    3895365","         54.34"
"BHARTIARTL","EQ","08-Oct-2018","        298.60","        298.80","        298.80","        291.00","        295.00","        295.20","        294.64","    9026370","          2659569851.00","     152705","    5687659","         63.01"
"BHARTIARTL","EQ","09-Oct-2018","        295.20","        296.25","        296.90","        287.00","        288.60","        289.00","        289.74","    8561269","          2480521183.30","      97096","    5289587","         61.79"
"BHARTIARTL","EQ","10-Oct-2018","        289.00","        289.00","        303.80","        284.20","        294.15","        295.10","        292.67","   10215590","          2989792162.90","     131207","    5448805","         53.34"
"BHARTIARTL","EQ","11-Oct-2018","        295.10","        288.95","        294.80","        282.25","        285.25","        285.35","        287.94","    4681303","          1347912965.80","      96167","    2208987","         47.19"
"BHARTIARTL","EQ","12-Oct-2018","        285.35","        288.00","        292.60","        284.65","        289.05","        290.05","        288.74","    9008275","          2601040247.70","     110465","    4831660","         53.64"
"BHARTIARTL","EQ","15-Oct-2018","        290.05","        290.05","        293.00","        284.05","        292.40","        291.10","        288.10","    2607240","           751158708.35","      69426","     755439","         28.97"
"BHARTIARTL","EQ","16-Oct-2018","        291.10","        292.40","        295.90","        289.20","        294.60","        294.00","        293.11","    3011299","           882651090.70","      57580","    1056490","         35.08"
"BHARTIARTL","EQ","17-Oct-2018","        294.00","        296.50","        298.35","        284.65","        290.00","        288.50","        291.49","    3877700","          1130301973.30","      75912","    1216662","         31.38"
"BHARTIARTL","EQ","19-Oct-2018","        288.50","        287.00","        293.20","        284.60","        286.90","        287.30","        288.70","    3730327","          1076956194.35","      52197","    1503219","         40.30"
"BHARTIARTL","EQ","22-Oct-2018","        287.30","        289.45","        290.00","        276.85","        289.45","        285.75","        283.70","    6531421","          1852939722.70","      97890","    3003702","         45.99"
"BHARTIARTL","EQ","23-Oct-2018","        285.75","        283.05","        290.60","        283.00","        285.80","        285.90","        286.22","    6637533","          1899819232.15","      86004","    4231456","         63.75"
"BHARTIARTL","EQ","24-Oct-2018","        285.90","        290.00","        328.75","        286.65","        311.55","        315.85","        304.18","   12195277","          3709608399.75","     131057","    4434516","         36.36"
"BHARTIARTL","EQ","25-Oct-2018","        315.85","        307.00","        310.40","        292.15","        296.00","        295.55","        300.05","   15304817","          4592284197.50","     129260","    5987193","         39.12"
"BHARTIARTL","EQ","26-Oct-2018","        295.55","        297.10","        306.00","        287.00","        297.45","        297.95","        297.97","    7858963","          2341727929.55","      77538","    1167509","         14.86"
"BHARTIARTL","EQ","29-Oct-2018","        297.95","        299.10","        303.55","        290.00","        293.65","        294.10","        296.73","    5651902","          1677085894.80","      61780","    1839262","         32.54"
"BHARTIARTL","EQ","30-Oct-2018","        294.10","        294.45","        297.20","        289.35","        291.50","        292.60","        293.24","    4807626","          1409776006.90","      54746","    2173900","         45.22"
"BHARTIARTL","EQ","31-Oct-2018","        292.60","        292.90","        295.00","        278.90","        291.35","        292.35","        287.48","    7357453","          2115129638.10","      78355","    2576766","         35.02"
"BHARTIARTL","EQ","01-Nov-2018","        292.35","        293.00","        298.00","        287.35","        293.90","        293.50","        293.75","    4748038","          1394721302.35","      53522","    1400232","         29.49"
"BHARTIARTL","EQ","02-Nov-2018","        293.50","        293.90","        307.80","        293.50","        302.55","        302.05","        302.17","    4425655","          1337317545.10","      50188","     689557","         15.58"
"BHARTIARTL","EQ","05-Nov-2018","        302.05","        300.80","        305.40","        298.00","        303.25","        303.20","        301.82","    4363411","          1316953779.25","      69159","    1861634","         42.66"
"BHARTIARTL","EQ","06-Nov-2018","        303.20","        304.00","        307.95","        302.90","        304.10","        305.05","        305.30","    2653071","           809988726.45","      43634","    1061422","         40.01"
"BHARTIARTL","EQ","07-Nov-2018","        305.05","        309.00","        309.00","        303.95","        306.00","        306.25","        306.22","     276702","            84731519.55","       3414","      21910","          7.92"
"BHARTIARTL","EQ","09-Nov-2018","        306.25","        289.80","        303.40","        288.70","        297.40","        299.75","        298.24","    8495072","          2533573737.20","     101544","    1907872","         22.46"
"BHARTIARTL","EQ","12-Nov-2018","        299.75","        301.00","        305.00","        294.00","        296.25","        296.20","        298.19","    6121627","          1825413218.30","      54809","    3244843","         53.01"
"BHARTIARTL","EQ","13-Nov-2018","        296.20","        296.00","        304.00","        290.30","        296.45","        297.55","        294.85","    3891168","          1147300122.65","      70834","    1387838","         35.67"
"BHARTIARTL","EQ","14-Nov-2018","        297.55","        300.00","        311.80","        298.00","        301.15","        301.30","        304.82","    4883558","          1488600275.35","      55151","    1307303","         26.77"
"BHARTIARTL","EQ","15-Nov-2018","        301.30","        301.30","        306.70","        298.00","        301.80","        304.40","        304.26","    4050154","          1232288607.65","      31248","    1850762","         45.70"
"BHARTIARTL","EQ","16-Nov-2018","        304.40","        302.90","        336.80","        302.00","        332.10","        332.75","        324.02","   22573096","          7314208585.75","     217149","    8289090","         36.72"
"BHARTIARTL","EQ","19-Nov-2018","        332.75","        329.40","        338.90","        319.00","        337.00","        336.85","        330.59","   11772584","          3891864184.75","     106558","    1655487","         14.06"
"BHARTIARTL","EQ","20-Nov-2018","        336.85","        333.10","        339.45","        328.30","        329.85","        331.95","        335.22","   10734672","          3598472725.85","      85244","    4479293","         41.73"
"BHARTIARTL","EQ","21-Nov-2018","        331.95","        331.00","        339.45","        330.15","        333.40","        332.70","        334.39","    8477936","          2834896802.65","      82487","    4040834","         47.66"
"BHARTIARTL","EQ","22-Nov-2018","        332.70","        331.90","        339.80","        321.40","        328.40","        327.85","        329.20","    8925992","          2938469154.70","      83300","     947646","         10.62"
"BHARTIARTL","EQ","26-Nov-2018","        327.85","        328.05","        338.90","        328.05","        335.60","        334.55","        335.29","    5969802","          2001605832.70","      81060","     984266","         16.49"
"BHARTIARTL","EQ","27-Nov-2018","        334.55","        333.90","        335.90","        324.10","        326.55","        328.15","        329.54","    6970751","          2297137225.05","      85564","    2161492","         31.01"
"BHARTIARTL","EQ","28-Nov-2018","        328.15","        332.00","        332.80","        311.00","        316.00","        314.10","        322.36","    9175591","          2957821840.15","      81295","    2596593","         28.30"
"BHARTIARTL","EQ","29-Nov-2018","        314.10","        321.00","        322.00","        312.00","        322.00","        317.20","        315.72","    8307218","          2622794893.50","      58702","    3938005","         47.40"
"BHARTIARTL","EQ","30-Nov-2018","        317.20","        319.00","        324.30","        310.70","        315.00","        313.50","        317.01","    5944313","          1884392540.15","      62388","    1550654","         26.09"
"BHARTIARTL","EQ","03-Dec-2018","        313.50","        316.50","        321.00","        314.50","        320.50","        319.75","        318.25","    3036001","           966193623.00","      25007","     472655","         15.57"
"BHARTIARTL","EQ","04-Dec-2018","        319.75","        321.00","        323.50","        310.25","        322.00","        318.55","        316.08","    6449992","          2038698447.00","      53667","    1564243","         24.25"
"BHARTIARTL","EQ","05-Dec-2018","        318.55","        319.70","        320.85","        310.20","        311.85","        312.80","        314.59","    4530938","          1425395265.20","      52230","     787082","         17.37"
"BHARTIARTL","EQ","06-Dec-2018","        312.80","        311.00","        311.00","        302.00","        304.05","        304.00","        305.66","    5918098","          1808943082.35","      77975","    1703991","         28.79"
"BHARTIARTL","EQ","07-Dec-2018","        304.00","        305.00","        307.80","        298.95","        305.00","        303.95","        303.81","    4775658","          1450907492.45","      67970","    1224954","         25.65"
"BHARTIARTL","EQ","10-Dec-2018","        303.95","        298.45","        301.65","        290.85","        292.00","        294.95","        296.51","    5181119","          1536254955.95","      79804","    1974962","         38.12"
"BHARTIARTL","EQ","11-Dec-2018","        294.95","        288.00","        294.40","        282.00","        290.20","        290.25","        289.74","    9007497","          2609809948.45","     100106","    3315856","         36.81"
"BHARTIARTL","EQ","12-Dec-2018","        290.25","        294.00","        311.00","        291.50","        311.00","        305.55","        301.02","    9282794","          2794285644.35","      91662","    2440895","         26.29"
"BHARTIARTL","EQ","13-Dec-2018","        305.55","        308.50","        312.85","        301.55","        302.90","        303.10","        306.32","    6909651","          2116584441.90","      84141","    1444222","         20.90"
"BHARTIARTL","EQ","14-Dec-2018","        303.10","        305.20","        333.40","        305.20","        319.00","        319.25","        317.82","   20486283","          6511035522.75","     181332","    2582987","         12.61"
"BHARTIARTL","EQ","17-Dec-2018","        319.25","        319.25","        323.20","        312.80","        313.80","        315.20","        317.71","    6136693","          1949682580.60","      64392","     592220","          9.65"
"BHARTIARTL","EQ","18-Dec-2018","        315.20","        314.20","        320.70","        311.60","        317.25","        317.80","        316.13","    5653153","          1787151930.00","      49673","     912506","         16.14"
"BHARTIARTL","EQ","19-Dec-2018","        317.80","        319.50","        324.00","        318.05","        322.55","        322.70","        321.02","    5217959","          1675067553.55","      56233","    1741896","         33.38"
"BHARTIARTL","EQ","20-Dec-2018","        322.70","        317.00","        321.55","        314.00","        315.85","        316.55","        317.07","    5396352","          1711031998.60","      56595","    1564820","         29.00"
"BHARTIARTL","EQ","21-Dec-2018","        316.55","        320.00","        324.75","        305.60","        307.50","        307.90","        314.65","   11143116","          3506140905.55","     104956","    1928461","         17.31"
"BHARTIARTL","EQ","24-Dec-2018","        307.90","        309.80","        312.30","        304.25","        309.90","        309.10","        307.98","    4709660","          1450503602.30","      61283","     882187","         18.73"
"BHARTIARTL","EQ","26-Dec-2018","        309.10","        308.20","        323.00","        302.60","        321.50","        320.45","        311.08","    7540970","          2345829539.10","      68999","    1979069","         26.24"
"BHARTIARTL","EQ","27-Dec-2018","        320.45","        323.20","        323.70","        314.00","        316.05","        316.70","        317.52","    7899279","          2508176349.95","      62214","    2419234","         30.63"
"BHARTIARTL","EQ","28-Dec-2018","        316.70","        316.90","        321.00","        314.50","        316.10","        316.55","        318.34","    4672856","          1487552906.15","      42075","    1368290","         29.28"
"BHARTIARTL","EQ","31-Dec-2018","        316.55","        319.00","        320.90","        311.10","        312.30","        312.50","        315.49","    3795043","          1197298521.90","      41555","     677333","         17.85"
