"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUNPHARMA","EQ","26-Aug-2019","        427.80","        428.00","        429.80","        415.10","        418.95","        419.35","        419.97","    6258106","          2628224042.05","      74984","    2281719","         36.46"
"SUNPHARMA","EQ","27-Aug-2019","        419.35","        424.05","        425.45","        415.10","        416.75","        416.75","        418.60","    6738413","          2820719749.65","     105883","    2725453","         40.45"
"SUNPHARMA","EQ","28-Aug-2019","        416.75","        416.90","        421.70","        411.50","        412.70","        413.10","        416.35","    3441725","          1432978407.60","      52277","     506965","         14.73"
"SUNPHARMA","EQ","29-Aug-2019","        413.10","        428.00","        438.60","        421.10","        434.00","        434.65","        430.25","   19967263","          8590893304.60","     222713","    3351923","         16.79"
"SUNPHARMA","EQ","30-Aug-2019","        434.65","        432.95","        453.40","        429.75","        452.15","        450.40","        443.01","   12308149","          5452630294.25","     172404","    2422412","         19.68"
"SUNPHARMA","EQ","03-Sep-2019","        450.40","        450.00","        456.00","        434.30","        438.50","        439.35","        447.79","    9396440","          4207661955.90","     131154","    1806143","         19.22"
"SUNPHARMA","EQ","04-Sep-2019","        439.35","        424.55","        429.45","        401.30","        426.00","        426.45","        416.45","   33952423","         14139402138.55","     355813","    4149867","         12.22"
"SUNPHARMA","EQ","05-Sep-2019","        426.45","        428.00","        433.95","        423.35","        432.70","        431.80","        429.45","    8793166","          3776266451.80","     128452","    1329616","         15.12"
"SUNPHARMA","EQ","06-Sep-2019","        431.80","        416.70","        427.20","        414.45","        425.00","        425.10","        420.75","   12513040","          5264867282.75","     142052","    2324400","         18.58"
"SUNPHARMA","EQ","09-Sep-2019","        425.10","        426.00","        432.50","        426.00","        428.20","        428.80","        429.52","    5488753","          2357555861.50","      69471","     641182","         11.68"
"SUNPHARMA","EQ","11-Sep-2019","        428.80","        432.00","        435.00","        421.25","        422.60","        422.20","        426.41","    7742635","          3301510735.60","      94865","    3055426","         39.46"
"SUNPHARMA","EQ","12-Sep-2019","        422.20","        424.75","        439.80","        419.45","        427.70","        427.80","        430.50","    9896642","          4260507643.00","     108689","    2023396","         20.45"
"SUNPHARMA","EQ","13-Sep-2019","        427.80","        430.45","        432.85","        421.10","        421.80","        422.85","        424.97","    6847742","          2910060585.25","      66390","    2281305","         33.31"
"SUNPHARMA","EQ","16-Sep-2019","        422.85","        421.00","        429.50","        419.95","        426.00","        426.80","        425.88","    5239616","          2231460430.40","      84062","    1463088","         27.92"
"SUNPHARMA","EQ","17-Sep-2019","        426.80","        426.70","        427.55","        419.15","        420.80","        420.65","        422.81","    3367950","          1424012609.00","      58872","     921635","         27.36"
"SUNPHARMA","EQ","18-Sep-2019","        420.65","        423.90","        424.60","        414.25","        417.30","        416.80","        418.55","    3728621","          1560619058.70","      70685","     840591","         22.54"
"SUNPHARMA","EQ","19-Sep-2019","        416.80","        416.80","        418.90","        408.20","        410.70","        411.15","        411.92","    4238714","          1746003914.10","      73253","    1483541","         35.00"
"SUNPHARMA","EQ","20-Sep-2019","        411.15","        413.90","        420.80","        408.00","        414.20","        413.70","        415.09","   11785529","          4892058627.30","     144373","    5619360","         47.68"
"SUNPHARMA","EQ","23-Sep-2019","        413.70","        418.00","        424.30","        405.40","        407.00","        409.45","        412.87","    7342291","          3031394597.25","     106069","    3206591","         43.67"
"SUNPHARMA","EQ","24-Sep-2019","        409.45","        408.00","        419.70","        406.35","        409.75","        409.65","        413.88","    5860106","          2425388536.35","      88914","    1739770","         29.69"
"SUNPHARMA","EQ","25-Sep-2019","        409.65","        409.60","        412.70","        401.75","        406.75","        406.75","        406.69","    5031063","          2046059736.50","      70703","    1681756","         33.43"
"SUNPHARMA","EQ","26-Sep-2019","        406.75","        406.75","        413.00","        405.30","        412.90","        411.95","        410.08","    5309789","          2177425515.25","      87956","    1675765","         31.56"
"SUNPHARMA","EQ","27-Sep-2019","        411.95","        412.00","        412.50","        400.25","        402.10","        401.70","        405.11","    3835936","          1553976654.00","      58856","    1338452","         34.89"
"SUNPHARMA","EQ","30-Sep-2019","        401.70","        402.90","        403.00","        386.55","        390.50","        389.45","        391.35","    6674624","          2612081328.70","      99735","    2624835","         39.33"
"SUNPHARMA","EQ","01-Oct-2019","        389.45","        388.50","        396.40","        380.10","        388.00","        386.55","        389.01","    4308157","          1675901683.15","      98376","    1346550","         31.26"
"SUNPHARMA","EQ","03-Oct-2019","        386.55","        382.00","        391.45","        377.65","        387.10","        388.15","        385.43","    5216456","          2010596353.95","     106807","    1927697","         36.95"
"SUNPHARMA","EQ","04-Oct-2019","        388.15","        389.00","        394.00","        384.20","        385.45","        386.05","        388.48","    4024033","          1563260438.20","      88238","    1413161","         35.12"
"SUNPHARMA","EQ","07-Oct-2019","        386.05","        386.05","        387.65","        372.60","        380.25","        379.90","        378.94","    5151963","          1952293963.95","      87751","     996821","         19.35"
"SUNPHARMA","EQ","09-Oct-2019","        379.90","        378.00","        387.75","        374.20","        384.10","        383.95","        381.12","    4991946","          1902520946.55","      87267","    1792162","         35.90"
"SUNPHARMA","EQ","10-Oct-2019","        383.95","        385.00","        389.80","        378.70","        386.05","        387.05","        385.55","    4581317","          1766331386.60","      64463","    1195620","         26.10"
"SUNPHARMA","EQ","11-Oct-2019","        387.05","        387.40","        389.35","        381.50","        387.30","        386.30","        384.62","    4273739","          1643773131.80","      56854","    1099912","         25.74"
"SUNPHARMA","EQ","14-Oct-2019","        386.30","        387.00","        399.00","        387.00","        395.50","        394.65","        394.99","    4372357","          1727051381.90","      73295","    1194634","         27.32"
"SUNPHARMA","EQ","15-Oct-2019","        394.65","        397.20","        400.00","        392.25","        396.20","        396.80","        396.46","    2892153","          1146620527.35","      45973","     396183","         13.70"
"SUNPHARMA","EQ","16-Oct-2019","        396.80","        398.05","        402.20","        394.25","        398.60","        399.70","        399.19","    5503380","          2196919345.70","      71067","    2074560","         37.70"
"SUNPHARMA","EQ","17-Oct-2019","        399.70","        401.60","        402.55","        396.80","        400.00","        401.50","        399.68","    2934902","          1173028039.95","      54036","     786561","         26.80"
"SUNPHARMA","EQ","18-Oct-2019","        401.50","        401.00","        406.50","        397.50","        400.95","        401.65","        402.57","    4647037","          1870745184.15","      55301","    1291991","         27.80"
"SUNPHARMA","EQ","22-Oct-2019","        401.65","        402.00","        408.00","        400.95","        405.60","        405.45","        405.26","    2944611","          1193339241.15","      84680","    1054658","         35.82"
"SUNPHARMA","EQ","23-Oct-2019","        405.45","        405.60","        411.35","        403.00","        405.50","        405.20","        406.39","    3374975","          1371567590.05","      60552","    1120339","         33.20"
"SUNPHARMA","EQ","24-Oct-2019","        405.20","        405.00","        407.75","        398.70","        406.40","        405.95","        404.16","    3017220","          1219431441.20","      74302","     799222","         26.49"
"SUNPHARMA","EQ","25-Oct-2019","        405.95","        405.00","        419.50","        401.05","        416.35","        417.50","        412.93","    4845146","          2000725812.35","      77514","    1554096","         32.08"
"SUNPHARMA","EQ","27-Oct-2019","        417.50","        416.05","        419.80","        416.05","        417.00","        417.75","        417.96","     359082","           150083514.25","       7411","     121699","         33.89"
"SUNPHARMA","EQ","29-Oct-2019","        417.75","        417.70","        425.50","        414.00","        421.80","        421.95","        421.72","    3863059","          1629114216.75","      71180","    1489602","         38.56"
"SUNPHARMA","EQ","30-Oct-2019","        421.95","        426.95","        432.55","        418.10","        429.60","        429.65","        424.82","    3511610","          1491817332.50","      58004","     758810","         21.61"
"SUNPHARMA","EQ","31-Oct-2019","        429.65","        429.60","        440.55","        428.80","        434.70","        433.40","        435.27","    6710116","          2920695308.90","      97323","    3192973","         47.58"
"SUNPHARMA","EQ","01-Nov-2019","        433.40","        434.65","        440.90","        433.10","        438.90","        437.55","        437.32","    3545584","          1550565646.10","      58866","    1042470","         29.40"
"SUNPHARMA","EQ","04-Nov-2019","        437.55","        439.95","        442.40","        433.65","        438.60","        437.95","        439.19","    4646694","          2040792827.85","      58805","    2023989","         43.56"
"SUNPHARMA","EQ","05-Nov-2019","        437.95","        435.50","        439.80","        424.05","        429.20","        429.90","        431.06","    6719996","          2896725321.90","      65433","    3498644","         52.06"
"SUNPHARMA","EQ","06-Nov-2019","        429.90","        432.40","        452.90","        422.10","        427.50","        427.90","        438.13","   15917528","          6973871229.45","     184052","    2890919","         18.16"
"SUNPHARMA","EQ","07-Nov-2019","        427.90","        431.70","        444.00","        423.40","        442.50","        440.60","        435.78","   14294406","          6229160048.30","     152916","    3490801","         24.42"
"SUNPHARMA","EQ","08-Nov-2019","        440.60","        442.00","        442.50","        420.85","        421.65","        422.10","        428.17","   11902470","          5096228243.75","     138582","    3162515","         26.57"
"SUNPHARMA","EQ","11-Nov-2019","        422.10","        415.00","        423.30","        407.10","        420.60","        421.45","        416.73","   10249882","          4271426689.45","     127922","    2702993","         26.37"
"SUNPHARMA","EQ","13-Nov-2019","        421.45","        420.00","        426.90","        410.00","        412.55","        412.00","        417.92","    6033467","          2521492554.45","      71449","    2667612","         44.21"
"SUNPHARMA","EQ","14-Nov-2019","        412.00","        413.20","        417.35","        407.55","        410.50","        410.20","        412.73","    4750176","          1960517454.70","     127361","    2143285","         45.12"
"SUNPHARMA","EQ","15-Nov-2019","        410.20","        412.75","        418.90","        410.15","        416.00","        415.05","        415.04","    5416931","          2248254892.15","      67389","    2328614","         42.99"
"SUNPHARMA","EQ","18-Nov-2019","        415.05","        418.00","        430.00","        417.05","        424.75","        424.55","        425.04","    7710740","          3277341928.85","     109161","    2544570","         33.00"
"SUNPHARMA","EQ","19-Nov-2019","        424.55","        425.00","        429.90","        421.60","        425.20","        425.90","        425.91","    4163853","          1773414710.95","      65315","    1352330","         32.48"
"SUNPHARMA","EQ","20-Nov-2019","        425.90","        427.20","        460.60","        423.85","        448.50","        450.00","        447.15","   23107507","         10332456975.50","     233907","    5289320","         22.89"
"SUNPHARMA","EQ","21-Nov-2019","        450.00","        450.00","        454.45","        443.60","        447.05","        447.15","        449.10","    7480460","          3359481950.35","      85370","    2543785","         34.01"
"SUNPHARMA","EQ","22-Nov-2019","        447.15","        450.00","        461.90","        445.10","        450.80","        452.10","        453.50","   12114721","          5494020257.60","     126896","    1972013","         16.28"
"SUNPHARMA","EQ","25-Nov-2019","        452.10","        453.00","        463.90","        450.00","        458.45","        458.95","        459.63","    8251208","          3792463214.20","     112128","    2128537","         25.80"
"SUNPHARMA","EQ","26-Nov-2019","        458.95","        463.80","        467.40","        446.50","        452.00","        450.75","        455.67","   11278843","          5139484795.80","     119712","    4462397","         39.56"
"SUNPHARMA","EQ","27-Nov-2019","        450.75","        449.95","        461.00","        447.55","        459.25","        458.75","        455.44","    6481012","          2951681974.65","      63515","    2618433","         40.40"
"SUNPHARMA","EQ","28-Nov-2019","        458.75","        456.20","        462.40","        455.15","        459.50","        457.35","        459.08","    4005893","          1839036430.80","      52474","     900949","         22.49"
"SUNPHARMA","EQ","29-Nov-2019","        457.35","        458.40","        460.55","        447.45","        449.00","        449.85","        452.73","    3198828","          1448208886.65","      52523","    1101883","         34.45"
"SUNPHARMA","EQ","02-Dec-2019","        449.85","        449.00","        449.60","        437.00","        440.00","        440.00","        440.96","    4933088","          2175285421.05","      60337","    2262921","         45.87"
"SUNPHARMA","EQ","03-Dec-2019","        440.00","        441.40","        442.20","        430.50","        433.60","        433.60","        436.70","    3602073","          1573019999.90","      52508","    1377174","         38.23"
"SUNPHARMA","EQ","04-Dec-2019","        433.60","        433.50","        444.70","        431.70","        443.05","        443.70","        439.74","    4318531","          1899035709.20","      72952","    1203125","         27.86"
"SUNPHARMA","EQ","05-Dec-2019","        443.70","        440.00","        441.95","        433.25","        436.50","        436.70","        436.45","    4096921","          1788097478.70","      99191","    1561410","         38.11"
"SUNPHARMA","EQ","06-Dec-2019","        436.70","        440.30","        444.20","        427.00","        428.40","        428.60","        435.28","    5805588","          2527056403.00","      58353","    1801025","         31.02"
"SUNPHARMA","EQ","09-Dec-2019","        428.60","        431.85","        434.60","        423.60","        427.00","        427.00","        430.19","    4959765","          2133630616.65","      63358","    1726339","         34.81"
"SUNPHARMA","EQ","10-Dec-2019","        427.00","        429.60","        435.75","        425.30","        427.60","        427.65","        430.52","    5578960","          2401847380.75","      74212","    1152558","         20.66"
"SUNPHARMA","EQ","11-Dec-2019","        427.65","        429.10","        431.90","        425.15","        429.90","        429.80","        428.75","    3322986","          1424745015.90","      64060","     972927","         29.28"
"SUNPHARMA","EQ","12-Dec-2019","        429.80","        430.90","        437.90","        430.25","        433.05","        434.15","        434.37","    2794856","          1214014561.15","      51164","     899140","         32.17"
"SUNPHARMA","EQ","13-Dec-2019","        434.15","        437.60","        441.90","        425.60","        437.75","        439.25","        434.62","    5386394","          2341056611.60","      63305","    1366940","         25.38"
"SUNPHARMA","EQ","16-Dec-2019","        439.25","        431.25","        437.20","        426.40","        435.00","        435.15","        433.05","    8290756","          3590298604.95","      95443","    1963584","         23.68"
"SUNPHARMA","EQ","17-Dec-2019","        435.15","        434.00","        437.50","        426.25","        429.70","        429.05","        430.58","    6407264","          2758846948.95","      75881","    2337177","         36.48"
"SUNPHARMA","EQ","18-Dec-2019","        429.05","        430.00","        441.40","        427.30","        439.80","        439.75","        435.75","    5341984","          2327793869.20","      61223","    1495478","         27.99"
"SUNPHARMA","EQ","19-Dec-2019","        439.75","        439.80","        440.60","        427.50","        433.35","        433.60","        433.15","    6465219","          2800437386.65","      68937","    1871303","         28.94"
"SUNPHARMA","EQ","20-Dec-2019","        433.60","        429.15","        436.70","        428.05","        430.30","        430.30","        431.82","    7157364","          3090683599.30","      73641","    2580724","         36.06"
"SUNPHARMA","EQ","23-Dec-2019","        430.30","        427.10","        432.00","        426.60","        427.50","        428.40","        429.24","    4534617","          1946433571.15","      48100","    1771162","         39.06"
"SUNPHARMA","EQ","24-Dec-2019","        428.40","        428.00","        432.45","        425.40","        429.15","        429.80","        429.44","    4210004","          1807951345.05","      42944","     916846","         21.78"
"SUNPHARMA","EQ","26-Dec-2019","        429.80","        430.90","        431.40","        420.65","        421.90","        422.15","        426.69","    5296867","          2260117553.55","      51320","    1449301","         27.36"
"SUNPHARMA","EQ","27-Dec-2019","        422.15","        422.00","        427.15","        421.40","        426.00","        426.00","        424.73","    3413181","          1449674345.55","      38150","     780417","         22.86"
"SUNPHARMA","EQ","30-Dec-2019","        426.00","        428.95","        433.50","        426.70","        429.50","        430.15","        430.53","    4758825","          2048796570.55","      46376","     757570","         15.92"
"SUNPHARMA","EQ","31-Dec-2019","        430.15","        430.10","        435.40","        428.70","        432.30","        432.55","        432.59","    2957369","          1279319641.05","      30191","    1168468","         39.51"
